"ID","age","race","gender","know","lang","item","response","task"
"104A",32,"Asian","male","Knowledgeable","Specific","q_flex3",0,"flexibility"
"104A",32,"Asian","male","Knowledgeable","Specific","q_cat1",NA,"category"
"104A",32,"Asian","male","Knowledgeable","Specific","q_cat2",0,"category"
"104A",32,"Asian","male","Knowledgeable","Specific","q_cat3",0,"category"
"104A",32,"Asian","male","Knowledgeable","Specific","q_homo1",2,"homogeneity"
"104A",32,"Asian","male","Knowledgeable","Specific","q_homo2",3,"homogeneity"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_flex2",1,"flexibility"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_flex3",1,"flexibility"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_cat1",0,"category"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_cat2",1,"category"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_cat3",1,"category"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_homo1",3,"homogeneity"
"105A",60,"Black or African American","female","Unknowledgeable","Specific","q_homo2",3,"homogeneity"
"106A",23,"White","female","Knowledgeable","Specific","K_Check1",1,"know_check"
"106A",23,"White","female","Knowledgeable","Specific","K_Check2",1,"know_check"
"106A",23,"White","female","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"106A",23,"White","female","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"106A",23,"White","female","Knowledgeable","Specific","q_flex1",0,"flexibility"
"106A",23,"White","female","Knowledgeable","Specific","q_flex2",1,"flexibility"
"106A",23,"White","female","Knowledgeable","Specific","q_flex3",1,"flexibility"
"106A",23,"White","female","Knowledgeable","Specific","q_cat1",1,"category"
"106A",23,"White","female","Knowledgeable","Specific","q_cat2",1,"category"
"106A",23,"White","female","Knowledgeable","Specific","q_cat3",1,"category"
"106A",23,"White","female","Knowledgeable","Specific","q_homo1",4,"homogeneity"
"106A",23,"White","female","Knowledgeable","Specific","q_homo2",3,"homogeneity"
"107A",48,"White","female","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"107A",48,"White","female","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"107A",48,"White","female","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"107A",48,"White","female","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"107A",48,"White","female","Unknowledgeable","Generic","q_flex1",0,"flexibility"
"107A",48,"White","female","Unknowledgeable","Generic","q_flex2",1,"flexibility"
"107A",48,"White","female","Unknowledgeable","Generic","q_flex3",1,"flexibility"
"107A",48,"White","female","Unknowledgeable","Generic","q_cat1",0,"category"
"107A",48,"White","female","Unknowledgeable","Generic","q_cat2",1,"category"
"107A",48,"White","female","Unknowledgeable","Generic","q_cat3",1,"category"
"107A",48,"White","female","Unknowledgeable","Generic","q_homo1",3,"homogeneity"
"107A",48,"White","female","Unknowledgeable","Generic","q_homo2",2,"homogeneity"
"108A",63,"White","male","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"108A",63,"White","male","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"108A",63,"White","male","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"108A",63,"White","male","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"108A",63,"White","male","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"108A",63,"White","male","Unknowledgeable","Specific","q_flex2",0,"flexibility"
"108A",63,"White","male","Unknowledgeable","Specific","q_flex3",0,"flexibility"
"108A",63,"White","male","Unknowledgeable","Specific","q_cat1",0,"category"
"108A",63,"White","male","Unknowledgeable","Specific","q_cat2",0,"category"
"108A",63,"White","male","Unknowledgeable","Specific","q_cat3",1,"category"
"108A",63,"White","male","Unknowledgeable","Specific","q_homo1",3,"homogeneity"
"108A",63,"White","male","Unknowledgeable","Specific","q_homo2",3,"homogeneity"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_flex1",0,"flexibility"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_flex2",0,"flexibility"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_flex3",0,"flexibility"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_cat1",0,"category"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_cat2",1,"category"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_cat3",0,"category"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_homo1",3,"homogeneity"
"109A",30,"Black or African American","female","Unknowledgeable","Generic","q_homo2",3,"homogeneity"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","U_Check1",0,"unknow_check"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_flex1",1,"flexibility"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_flex2",1,"flexibility"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_flex3",1,"flexibility"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_cat1",1,"category"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_cat2",1,"category"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_cat3",NA,"category"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_homo1",5,"homogeneity"
"10A",33,"Black or African American","male","Unknowledgeable","Specific","q_homo2",5,"homogeneity"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","K_Check1",1,"know_check"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","K_Check2",1,"know_check"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_flex1",1,"flexibility"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_flex2",1,"flexibility"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_flex3",1,"flexibility"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_cat1",0,"category"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_cat2",1,"category"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_cat3",1,"category"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_homo1",1,"homogeneity"
"110A",31,"American Indian or Alaskan Native","male","Knowledgeable","Generic","q_homo2",2,"homogeneity"
"111A",83,"White","male","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"111A",83,"White","male","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"111A",83,"White","male","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"111A",83,"White","male","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"111A",83,"White","male","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"111A",83,"White","male","Unknowledgeable","Specific","q_flex2",0,"flexibility"
"111A",83,"White","male","Unknowledgeable","Specific","q_flex3",0,"flexibility"
"111A",83,"White","male","Unknowledgeable","Specific","q_cat1",0,"category"
"111A",83,"White","male","Unknowledgeable","Specific","q_cat2",1,"category"
"111A",83,"White","male","Unknowledgeable","Specific","q_cat3",0,"category"
"111A",83,"White","male","Unknowledgeable","Specific","q_homo1",1,"homogeneity"
"111A",83,"White","male","Unknowledgeable","Specific","q_homo2",1,"homogeneity"
"112A",32,"White","male","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"112A",32,"White","male","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"112A",32,"White","male","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"112A",32,"White","male","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"112A",32,"White","male","Unknowledgeable","Generic","q_flex1",NA,"flexibility"
"112A",32,"White","male","Unknowledgeable","Generic","q_flex2",1,"flexibility"
"112A",32,"White","male","Unknowledgeable","Generic","q_flex3",1,"flexibility"
"112A",32,"White","male","Unknowledgeable","Generic","q_cat1",1,"category"
"112A",32,"White","male","Unknowledgeable","Generic","q_cat2",NA,"category"
"112A",32,"White","male","Unknowledgeable","Generic","q_cat3",1,"category"
"112A",32,"White","male","Unknowledgeable","Generic","q_homo1",5,"homogeneity"
"112A",32,"White","male","Unknowledgeable","Generic","q_homo2",NA,"homogeneity"
"113A",26,"White","male","Knowledgeable","Specific","K_Check1",1,"know_check"
"113A",26,"White","male","Knowledgeable","Specific","K_Check2",1,"know_check"
"113A",26,"White","male","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"113A",26,"White","male","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"113A",26,"White","male","Knowledgeable","Specific","q_flex1",0,"flexibility"
"113A",26,"White","male","Knowledgeable","Specific","q_flex2",0,"flexibility"
"113A",26,"White","male","Knowledgeable","Specific","q_flex3",0,"flexibility"
"113A",26,"White","male","Knowledgeable","Specific","q_cat1",0,"category"
"113A",26,"White","male","Knowledgeable","Specific","q_cat2",1,"category"
"113A",26,"White","male","Knowledgeable","Specific","q_cat3",1,"category"
"113A",26,"White","male","Knowledgeable","Specific","q_homo1",4,"homogeneity"
"113A",26,"White","male","Knowledgeable","Specific","q_homo2",NA,"homogeneity"
"114A",21,"White","female","Knowledgeable","Specific","K_Check1",1,"know_check"
"114A",21,"White","female","Knowledgeable","Specific","K_Check2",1,"know_check"
"114A",21,"White","female","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"114A",21,"White","female","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"114A",21,"White","female","Knowledgeable","Specific","q_flex1",0,"flexibility"
"114A",21,"White","female","Knowledgeable","Specific","q_flex2",0,"flexibility"
"114A",21,"White","female","Knowledgeable","Specific","q_flex3",1,"flexibility"
"114A",21,"White","female","Knowledgeable","Specific","q_cat1",0,"category"
"114A",21,"White","female","Knowledgeable","Specific","q_cat2",1,"category"
"114A",21,"White","female","Knowledgeable","Specific","q_cat3",1,"category"
"114A",21,"White","female","Knowledgeable","Specific","q_homo1",3,"homogeneity"
"114A",21,"White","female","Knowledgeable","Specific","q_homo2",3,"homogeneity"
"115A",62,"Black or African American","female","Knowledgeable","Generic","K_Check1",1,"know_check"
"115A",62,"Black or African American","female","Knowledgeable","Generic","K_Check2",1,"know_check"
"115A",62,"Black or African American","female","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"115A",62,"Black or African American","female","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_flex1",0,"flexibility"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_flex2",0,"flexibility"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_flex3",1,"flexibility"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_cat1",1,"category"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_cat2",1,"category"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_cat3",1,"category"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_homo1",5,"homogeneity"
"115A",62,"Black or African American","female","Knowledgeable","Generic","q_homo2",5,"homogeneity"
"116A",28,"White","male","Knowledgeable","Specific","K_Check1",1,"know_check"
"116A",28,"White","male","Knowledgeable","Specific","K_Check2",1,"know_check"
"116A",28,"White","male","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"116A",28,"White","male","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"116A",28,"White","male","Knowledgeable","Specific","q_flex1",0,"flexibility"
"116A",28,"White","male","Knowledgeable","Specific","q_flex2",0,"flexibility"
"116A",28,"White","male","Knowledgeable","Specific","q_flex3",0,"flexibility"
"116A",28,"White","male","Knowledgeable","Specific","q_cat1",0,"category"
"116A",28,"White","male","Knowledgeable","Specific","q_cat2",1,"category"
"116A",28,"White","male","Knowledgeable","Specific","q_cat3",1,"category"
"116A",28,"White","male","Knowledgeable","Specific","q_homo1",3,"homogeneity"
"116A",28,"White","male","Knowledgeable","Specific","q_homo2",3,"homogeneity"
"117A",33,"Asian","male","Knowledgeable","Specific","K_Check1",1,"know_check"
"117A",33,"Asian","male","Knowledgeable","Specific","K_Check2",1,"know_check"
"117A",33,"Asian","male","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"117A",33,"Asian","male","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"117A",33,"Asian","male","Knowledgeable","Specific","q_flex1",1,"flexibility"
"117A",33,"Asian","male","Knowledgeable","Specific","q_flex2",1,"flexibility"
"117A",33,"Asian","male","Knowledgeable","Specific","q_flex3",1,"flexibility"
"117A",33,"Asian","male","Knowledgeable","Specific","q_cat1",0,"category"
"117A",33,"Asian","male","Knowledgeable","Specific","q_cat2",1,"category"
"117A",33,"Asian","male","Knowledgeable","Specific","q_cat3",1,"category"
"117A",33,"Asian","male","Knowledgeable","Specific","q_homo1",3,"homogeneity"
"117A",33,"Asian","male","Knowledgeable","Specific","q_homo2",3,"homogeneity"
"118A",40,"White","male","Knowledgeable","Generic","K_Check1",1,"know_check"
"118A",40,"White","male","Knowledgeable","Generic","K_Check2",1,"know_check"
"118A",40,"White","male","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"118A",40,"White","male","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"118A",40,"White","male","Knowledgeable","Generic","q_flex1",0,"flexibility"
"118A",40,"White","male","Knowledgeable","Generic","q_flex2",0,"flexibility"
"118A",40,"White","male","Knowledgeable","Generic","q_flex3",0,"flexibility"
"118A",40,"White","male","Knowledgeable","Generic","q_cat1",0,"category"
"118A",40,"White","male","Knowledgeable","Generic","q_cat2",1,"category"
"118A",40,"White","male","Knowledgeable","Generic","q_cat3",1,"category"
"118A",40,"White","male","Knowledgeable","Generic","q_homo1",4,"homogeneity"
"118A",40,"White","male","Knowledgeable","Generic","q_homo2",4,"homogeneity"
"119A",42,"White","female","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"119A",42,"White","female","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"119A",42,"White","female","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"119A",42,"White","female","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"119A",42,"White","female","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"119A",42,"White","female","Unknowledgeable","Specific","q_flex2",0,"flexibility"
"119A",42,"White","female","Unknowledgeable","Specific","q_flex3",0,"flexibility"
"119A",42,"White","female","Unknowledgeable","Specific","q_cat1",0,"category"
"119A",42,"White","female","Unknowledgeable","Specific","q_cat2",0,"category"
"119A",42,"White","female","Unknowledgeable","Specific","q_cat3",0,"category"
"119A",42,"White","female","Unknowledgeable","Specific","q_homo1",2,"homogeneity"
"119A",42,"White","female","Unknowledgeable","Specific","q_homo2",3,"homogeneity"
"11A",33,"White","male","Knowledgeable","Generic","K_Check1",1,"know_check"
"11A",33,"White","male","Knowledgeable","Generic","K_Check2",1,"know_check"
"11A",33,"White","male","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"11A",33,"White","male","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"11A",33,"White","male","Knowledgeable","Generic","q_flex1",1,"flexibility"
"11A",33,"White","male","Knowledgeable","Generic","q_flex2",0,"flexibility"
"11A",33,"White","male","Knowledgeable","Generic","q_flex3",0,"flexibility"
"11A",33,"White","male","Knowledgeable","Generic","q_cat1",0,"category"
"11A",33,"White","male","Knowledgeable","Generic","q_cat2",1,"category"
"11A",33,"White","male","Knowledgeable","Generic","q_cat3",1,"category"
"11A",33,"White","male","Knowledgeable","Generic","q_homo1",3,"homogeneity"
"11A",33,"White","male","Knowledgeable","Generic","q_homo2",5,"homogeneity"
"120A",40,"White","male","Knowledgeable","Generic","K_Check1",1,"know_check"
"120A",40,"White","male","Knowledgeable","Generic","K_Check2",1,"know_check"
"120A",40,"White","male","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"120A",40,"White","male","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"120A",40,"White","male","Knowledgeable","Generic","q_flex1",0,"flexibility"
"120A",40,"White","male","Knowledgeable","Generic","q_flex2",0,"flexibility"
"120A",40,"White","male","Knowledgeable","Generic","q_flex3",1,"flexibility"
"120A",40,"White","male","Knowledgeable","Generic","q_cat1",0,"category"
"120A",40,"White","male","Knowledgeable","Generic","q_cat2",1,"category"
"120A",40,"White","male","Knowledgeable","Generic","q_cat3",1,"category"
"120A",40,"White","male","Knowledgeable","Generic","q_homo1",NA,"homogeneity"
"120A",40,"White","male","Knowledgeable","Generic","q_homo2",4,"homogeneity"
"121A",32,"White","male","Knowledgeable","Specific","K_Check1",1,"know_check"
"121A",32,"White","male","Knowledgeable","Specific","K_Check2",1,"know_check"
"121A",32,"White","male","Knowledgeable","Specific","U_Check1",NA,"unknow_check"
"121A",32,"White","male","Knowledgeable","Specific","U_Check2",NA,"unknow_check"
"121A",32,"White","male","Knowledgeable","Specific","q_flex1",1,"flexibility"
"121A",32,"White","male","Knowledgeable","Specific","q_flex2",1,"flexibility"
"121A",32,"White","male","Knowledgeable","Specific","q_flex3",0,"flexibility"
"121A",32,"White","male","Knowledgeable","Specific","q_cat1",0,"category"
"121A",32,"White","male","Knowledgeable","Specific","q_cat2",1,"category"
"121A",32,"White","male","Knowledgeable","Specific","q_cat3",1,"category"
"121A",32,"White","male","Knowledgeable","Specific","q_homo1",3,"homogeneity"
"121A",32,"White","male","Knowledgeable","Specific","q_homo2",3,"homogeneity"
"122A",33,"White","male","Knowledgeable","Generic","K_Check1",1,"know_check"
"122A",33,"White","male","Knowledgeable","Generic","K_Check2",1,"know_check"
"122A",33,"White","male","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"122A",33,"White","male","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"122A",33,"White","male","Knowledgeable","Generic","q_flex1",1,"flexibility"
"122A",33,"White","male","Knowledgeable","Generic","q_flex2",0,"flexibility"
"122A",33,"White","male","Knowledgeable","Generic","q_flex3",1,"flexibility"
"122A",33,"White","male","Knowledgeable","Generic","q_cat1",1,"category"
"122A",33,"White","male","Knowledgeable","Generic","q_cat2",1,"category"
"122A",33,"White","male","Knowledgeable","Generic","q_cat3",1,"category"
"122A",33,"White","male","Knowledgeable","Generic","q_homo1",NA,"homogeneity"
"122A",33,"White","male","Knowledgeable","Generic","q_homo2",5,"homogeneity"
"123A",27,"White","female","Knowledgeable","Generic","K_Check1",1,"know_check"
"123A",27,"White","female","Knowledgeable","Generic","K_Check2",1,"know_check"
"123A",27,"White","female","Knowledgeable","Generic","U_Check1",NA,"unknow_check"
"123A",27,"White","female","Knowledgeable","Generic","U_Check2",NA,"unknow_check"
"123A",27,"White","female","Knowledgeable","Generic","q_flex1",1,"flexibility"
"123A",27,"White","female","Knowledgeable","Generic","q_flex2",0,"flexibility"
"123A",27,"White","female","Knowledgeable","Generic","q_flex3",0,"flexibility"
"123A",27,"White","female","Knowledgeable","Generic","q_cat1",NA,"category"
"123A",27,"White","female","Knowledgeable","Generic","q_cat2",1,"category"
"123A",27,"White","female","Knowledgeable","Generic","q_cat3",0,"category"
"123A",27,"White","female","Knowledgeable","Generic","q_homo1",NA,"homogeneity"
"123A",27,"White","female","Knowledgeable","Generic","q_homo2",2,"homogeneity"
"124A",61,"White","male","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"124A",61,"White","male","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"124A",61,"White","male","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"124A",61,"White","male","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"124A",61,"White","male","Unknowledgeable","Generic","q_flex1",1,"flexibility"
"124A",61,"White","male","Unknowledgeable","Generic","q_flex2",1,"flexibility"
"124A",61,"White","male","Unknowledgeable","Generic","q_flex3",1,"flexibility"
"124A",61,"White","male","Unknowledgeable","Generic","q_cat1",0,"category"
"124A",61,"White","male","Unknowledgeable","Generic","q_cat2",1,"category"
"124A",61,"White","male","Unknowledgeable","Generic","q_cat3",1,"category"
"124A",61,"White","male","Unknowledgeable","Generic","q_homo1",4,"homogeneity"
"124A",61,"White","male","Unknowledgeable","Generic","q_homo2",4,"homogeneity"
"125A",30,"Asian","male","Unknowledgeable","Generic","K_Check1",NA,"know_check"
"125A",30,"Asian","male","Unknowledgeable","Generic","K_Check2",NA,"know_check"
"125A",30,"Asian","male","Unknowledgeable","Generic","U_Check1",1,"unknow_check"
"125A",30,"Asian","male","Unknowledgeable","Generic","U_Check2",1,"unknow_check"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_flex1",1,"flexibility"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_flex2",1,"flexibility"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_flex3",1,"flexibility"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_cat1",1,"category"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_cat2",0,"category"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_cat3",0,"category"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_homo1",NA,"homogeneity"
"125A",30,"Asian","male","Unknowledgeable","Generic","q_homo2",3,"homogeneity"
"126A",34,"White","male","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"126A",34,"White","male","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"126A",34,"White","male","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"126A",34,"White","male","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"126A",34,"White","male","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"126A",34,"White","male","Unknowledgeable","Specific","q_flex2",0,"flexibility"
"126A",34,"White","male","Unknowledgeable","Specific","q_flex3",0,"flexibility"
"126A",34,"White","male","Unknowledgeable","Specific","q_cat1",0,"category"
"126A",34,"White","male","Unknowledgeable","Specific","q_cat2",1,"category"
"126A",34,"White","male","Unknowledgeable","Specific","q_cat3",1,"category"
"126A",34,"White","male","Unknowledgeable","Specific","q_homo1",3,"homogeneity"
"126A",34,"White","male","Unknowledgeable","Specific","q_homo2",4,"homogeneity"
"127A",48,"White","male","Unknowledgeable","Specific","K_Check1",NA,"know_check"
"127A",48,"White","male","Unknowledgeable","Specific","K_Check2",NA,"know_check"
"127A",48,"White","male","Unknowledgeable","Specific","U_Check1",1,"unknow_check"
"127A",48,"White","male","Unknowledgeable","Specific","U_Check2",1,"unknow_check"
"127A",48,"White","male","Unknowledgeable","Specific","q_flex1",0,"flexibility"
"127A",48,"White","male","Unknowledgeable","Specific","q_flex2",0,"flexibility"
